0,92,67
1,92,66
2,88,66
3,86,67
4,85,69
5,86,65
6,85,67
7,86,65
8,85,68
9,85,65
10,84,68
11,82,66
12,84,66
13,85,65
14,84,64
15,85,65
16,85,62
17,88,66
18,87,65
19,86,66
20,88,67
21,87,67
22,89,69
23,91,66
24,91,66
25,93,66
26,94,67
27,93,66
28,95,65
29,95,64
30,95,62
31,93,63
32,94,62
33,94,62
34,96,59
35,95,60
36,96,60
37,95,64
38,95,62
39,95,63
40,95,62
41,93,62
42,91,64
43,90,63
44,88,62
45,84,64
46,82,67
47,79,69
48,77,68
49,73,71
50,71,74
51,69,76
52,68,73
53,65,76
54,63,76
55,61,74
56,61,75
57,58,75
58,60,74
59,59,76
60,59,73
61,63,73
62,63,73
63,64,72
64,64,74
65,64,72
66,63,72
67,64,74
68,65,76
69,66,74
70,66,73
71,68,72
72,67,69
73,68,69
74,68,67
75,69,71
76,68,67
77,72,63
78,70,59
79,72,61
80,71,62
81,75,62
82,78,61
83,76,58
84,82,58
85,86,60
86,91,61
87,93,58
88,96,60
89,100,61
90,104,58
91,106,58
92,110,60
93,112,58
94,113,58
95,112,58
96,113,58
97,115,59
98,112,56
99,110,59
100,107,62
101,103,61
102,103,64
103,99,62
104,96,61
105,93,63
106,88,64
107,86,66
108,86,63
109,84,64
110,83,61
111,81,58
112,80,57
113,79,57
114,77,59
115,76,59
116,78,60
117,76,61
118,78,62
119,77,62
120,79,60
121,76,59
122,75,60
123,77,60
124,75,63
125,77,61
126,74,60
127,75,57
128,76,56
129,74,54
130,74,56
131,75,56
132,75,57
133,75,57
134,76,56
135,76,53
136,77,53
137,74,53
138,75,57
139,77,56
140,79,57
141,80,57
142,81,57
143,81,57
144,81,55
145,81,56
146,82,56
147,78,57
148,82,57
149,81,57
150,82,54
151,81,52
152,81,53
153,84,52
154,82,54
155,81,55
156,82,56
157,83,54
158,82,54
159,82,58
160,84,57
161,82,58
162,82,59
163,83,56
164,83,58
165,82,57
166,83,59
167,83,60
168,85,59
169,83,61
170,84,62
171,84,62
172,83,62
173,85,63
174,87,65
175,88,66
176,86,64
177,84,65
178,85,63
179,83,64
180,86,63
181,88,63
182,87,65
183,89,67
184,88,68
185,91,69
186,93,70
187,95,71
188,95,72
189,95,73
190,98,74
191,98,76
192,101,76
193,103,78
194,104,77
195,106,79
196,105,79
197,109,83
198,109,85
199,108,84
